ID,Participation_Experiment,Recruitment_organisation,Municipality,Region,Survey1_answered,Survey2_answered,Survey3_answered,Participation_Phase,Control_Price_Phase1,Control_Price_Phase2,Group_Phase1,Group_Phase2,Participation_status_Phase1,Participation_status_Phase2
Ipsos_863,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_864,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_865,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_866,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_867,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_868,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_869,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_870,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_871,No,Market research company,Bærum,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_872,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_873,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_874,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_875,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_876,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_877,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_878,No,Market research company,Bærum,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_879,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_880,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_881,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_882,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_883,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_884,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_885,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_886,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_887,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_888,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_889,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_890,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_891,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_892,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_893,No,Market research company,Drammen,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_894,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_895,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_896,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_897,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_898,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_899,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_900,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_901,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_902,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_903,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_904,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_905,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_906,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_907,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_908,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_909,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_910,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_911,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_912,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_913,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_914,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_915,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_916,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_917,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_918,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_919,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_920,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_921,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_922,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_923,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_924,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_925,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_926,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_927,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_928,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_929,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_930,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_931,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_932,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
